date,key,value
11/23/16,Mélenchon,1
11/24/16,Mélenchon,1
11/25/16,Mélenchon,0
11/26/16,Mélenchon,4
11/27/16,Mélenchon,2
11/28/16,Mélenchon,1
11/29/16,Mélenchon,2
11/30/16,Mélenchon,5
12/01/16,Mélenchon,2
12/02/16,Mélenchon,1
12/03/16,Mélenchon,1
12/04/16,Mélenchon,0
12/05/16,Mélenchon,1
12/06/16,Mélenchon,0
12/07/16,Mélenchon,1
12/08/16,Mélenchon,0
12/09/16,Mélenchon,1
12/10/16,Mélenchon,0
12/11/16,Mélenchon,0
12/12/16,Mélenchon,1
12/13/16,Mélenchon,1
12/14/16,Mélenchon,2
12/15/16,Mélenchon,0
12/16/16,Mélenchon,1
12/17/16,Mélenchon,0
12/18/16,Mélenchon,1
12/19/16,Mélenchon,0
12/20/16,Mélenchon,1
12/21/16,Mélenchon,0
12/22/16,Mélenchon,0
12/23/16,Mélenchon,0
12/24/16,Mélenchon,0
12/25/16,Mélenchon,1
12/26/16,Mélenchon,0
12/27/16,Mélenchon,0
12/28/16,Mélenchon,1
12/29/16,Mélenchon,0
12/30/16,Mélenchon,0
12/31/16,Mélenchon,0
01/01/17,Mélenchon,0
01/02/17,Mélenchon,0
01/03/17,Mélenchon,0
01/04/17,Mélenchon,2
01/05/17,Mélenchon,7
01/06/17,Mélenchon,2
01/07/17,Mélenchon,0
01/08/17,Mélenchon,1
01/09/17,Mélenchon,6
01/10/17,Mélenchon,3
01/11/17,Mélenchon,3
01/12/17,Mélenchon,9
01/13/17,Mélenchon,1
01/14/17,Mélenchon,0
01/15/17,Mélenchon,1
01/16/17,Mélenchon,2
01/17/17,Mélenchon,2
01/18/17,Mélenchon,2
01/19/17,Mélenchon,2
01/20/17,Mélenchon,1
01/21/17,Mélenchon,1
01/22/17,Mélenchon,3
01/23/17,Mélenchon,3
01/24/17,Mélenchon,2
01/25/17,Mélenchon,2
01/26/17,Mélenchon,3
01/27/17,Mélenchon,1
01/28/17,Mélenchon,1
01/29/17,Mélenchon,7
01/30/17,Mélenchon,5
01/31/17,Mélenchon,1
02/01/17,Mélenchon,2
02/02/17,Mélenchon,2
02/03/17,Mélenchon,2
02/04/17,Mélenchon,2
02/05/17,Mélenchon,14
02/06/17,Mélenchon,4
02/07/17,Mélenchon,2
02/08/17,Mélenchon,1
02/09/17,Mélenchon,1
02/10/17,Mélenchon,2
02/11/17,Mélenchon,3
02/12/17,Mélenchon,0
02/13/17,Mélenchon,0
02/14/17,Mélenchon,3
02/15/17,Mélenchon,3
09/01/16,Montebourg,0
09/02/16,Montebourg,0
09/03/16,Montebourg,0
09/04/16,Montebourg,0
09/05/16,Montebourg,0
09/06/16,Montebourg,0
09/07/16,Montebourg,2
09/08/16,Montebourg,0
09/09/16,Montebourg,0
09/10/16,Montebourg,1
09/11/16,Montebourg,1
09/12/16,Montebourg,1
09/13/16,Montebourg,0
09/14/16,Montebourg,2
09/15/16,Montebourg,2
09/16/16,Montebourg,0
09/17/16,Montebourg,1
09/18/16,Montebourg,0
09/19/16,Montebourg,0
09/20/16,Montebourg,0
09/21/16,Montebourg,0
09/22/16,Montebourg,8
09/23/16,Montebourg,3
09/24/16,Montebourg,0
09/25/16,Montebourg,0
09/26/16,Montebourg,0
09/27/16,Montebourg,1
09/28/16,Montebourg,0
09/29/16,Montebourg,0
09/30/16,Montebourg,0
10/01/16,Montebourg,0
10/02/16,Montebourg,2
10/03/16,Montebourg,2
10/04/16,Montebourg,0
10/05/16,Montebourg,0
10/06/16,Montebourg,0
10/07/16,Montebourg,0
10/08/16,Montebourg,1
10/09/16,Montebourg,0
10/10/16,Montebourg,0
10/11/16,Montebourg,1
10/12/16,Montebourg,1
10/13/16,Montebourg,1
10/14/16,Montebourg,1
10/15/16,Montebourg,0
10/16/16,Montebourg,0
10/17/16,Montebourg,0
10/18/16,Montebourg,0
10/19/16,Montebourg,0
10/20/16,Montebourg,0
10/21/16,Montebourg,0
10/22/16,Montebourg,0
10/23/16,Montebourg,1
10/24/16,Montebourg,0
10/25/16,Montebourg,0
10/26/16,Montebourg,0
10/27/16,Montebourg,0
10/28/16,Montebourg,0
10/29/16,Montebourg,0
10/30/16,Montebourg,1
10/31/16,Montebourg,0
11/01/16,Montebourg,0
11/02/16,Montebourg,0
11/03/16,Montebourg,2
11/04/16,Montebourg,0
11/05/16,Montebourg,1
11/06/16,Montebourg,0
11/07/16,Montebourg,1
11/08/16,Montebourg,0
11/09/16,Montebourg,0
11/10/16,Montebourg,0
11/11/16,Montebourg,0
11/12/16,Montebourg,0
11/13/16,Montebourg,0
11/14/16,Montebourg,0
11/15/16,Montebourg,1
11/16/16,Montebourg,0
11/17/16,Montebourg,0
11/18/16,Montebourg,0
11/19/16,Montebourg,0
11/20/16,Montebourg,0
11/21/16,Montebourg,1
11/22/16,Montebourg,0
11/23/16,Montebourg,0
11/24/16,Montebourg,1
11/25/16,Montebourg,0
11/26/16,Montebourg,0
11/27/16,Montebourg,0
11/28/16,Montebourg,0
11/29/16,Montebourg,3
11/30/16,Montebourg,1
12/01/16,Montebourg,6
12/02/16,Montebourg,2
12/03/16,Montebourg,0
12/04/16,Montebourg,0
12/05/16,Montebourg,2
12/06/16,Montebourg,1
12/07/16,Montebourg,0
12/08/16,Montebourg,1
12/09/16,Montebourg,1
12/10/16,Montebourg,0
12/11/16,Montebourg,0
12/12/16,Montebourg,0
12/13/16,Montebourg,0
12/14/16,Montebourg,4
12/15/16,Montebourg,0
12/16/16,Montebourg,0
12/17/16,Montebourg,0
12/18/16,Montebourg,3
12/19/16,Montebourg,0
12/20/16,Montebourg,0
12/21/16,Montebourg,0
12/22/16,Montebourg,0
12/23/16,Montebourg,0
12/24/16,Montebourg,0
12/25/16,Montebourg,0
12/26/16,Montebourg,1
12/27/16,Montebourg,1
12/28/16,Montebourg,0
12/29/16,Montebourg,0
12/30/16,Montebourg,0
12/31/16,Montebourg,0
01/01/17,Montebourg,0
01/02/17,Montebourg,3
01/03/17,Montebourg,2
01/04/17,Montebourg,3
01/05/17,Montebourg,1
01/06/17,Montebourg,3
01/07/17,Montebourg,0
01/08/17,Montebourg,1
01/09/17,Montebourg,3
01/10/17,Montebourg,4
01/11/17,Montebourg,0
01/12/17,Montebourg,3
01/13/17,Montebourg,2
01/14/17,Montebourg,1
01/15/17,Montebourg,2
01/16/17,Montebourg,5
01/17/17,Montebourg,4
01/18/17,Montebourg,2
01/19/17,Montebourg,5
01/20/17,Montebourg,2
01/21/17,Montebourg,0
01/22/17,Montebourg,7
01/23/17,Montebourg,2
01/24/17,Montebourg,1
01/25/17,Montebourg,1
01/26/17,Montebourg,0
01/27/17,Montebourg,1
01/28/17,Montebourg,0
01/29/17,Montebourg,0
01/30/17,Montebourg,0
01/31/17,Montebourg,0
02/01/17,Montebourg,0
02/02/17,Montebourg,0
02/03/17,Montebourg,0
02/04/17,Montebourg,0
02/05/17,Montebourg,0
02/06/17,Montebourg,0
02/07/17,Montebourg,1
02/08/17,Montebourg,0
02/09/17,Montebourg,0
02/10/17,Montebourg,0
02/11/17,Montebourg,0
02/12/17,Montebourg,0
02/13/17,Montebourg,0
02/14/17,Montebourg,0
02/15/17,Montebourg,0
09/01/16,Le Pen,1
09/02/16,Le Pen,0
09/03/16,Le Pen,4
09/04/16,Le Pen,0
09/05/16,Le Pen,0
09/06/16,Le Pen,0
09/07/16,Le Pen,1
09/08/16,Le Pen,0
09/09/16,Le Pen,0
09/10/16,Le Pen,0
09/11/16,Le Pen,1
09/12/16,Le Pen,4
09/13/16,Le Pen,1
09/14/16,Le Pen,0
09/15/16,Le Pen,0
09/16/16,Le Pen,2
09/17/16,Le Pen,1
09/18/16,Le Pen,3
09/19/16,Le Pen,1
09/20/16,Le Pen,2
09/21/16,Le Pen,1
09/22/16,Le Pen,3
09/23/16,Le Pen,4
09/24/16,Le Pen,0
09/25/16,Le Pen,0
09/26/16,Le Pen,0
09/27/16,Le Pen,0
09/28/16,Le Pen,0
09/29/16,Le Pen,0
09/30/16,Le Pen,0
10/01/16,Le Pen,0
10/02/16,Le Pen,0
10/03/16,Le Pen,2
10/04/16,Le Pen,0
10/05/16,Le Pen,2
10/06/16,Le Pen,0
10/07/16,Le Pen,1
10/08/16,Le Pen,1
