date,key,value
10/24/16,Valls,4
10/24/16,Montebourg,0
10/24/16,Hamon,0
10/24/16,Melenchon,0
10/25/16,Le Pen,1
10/25/16,Fillon,0
10/25/16,Sarkozy,3
10/25/16,Juppe,7
10/25/16,Macron,2
10/25/16,Hollande,6
10/25/16,Valls,1
10/25/16,Montebourg,0
10/25/16,Hamon,0
10/25/16,Melenchon,1
10/26/16,Le Pen,0
10/26/16,Fillon,0
10/26/16,Sarkozy,3
10/26/16,Juppe,2
10/26/16,Macron,2
10/26/16,Hollande,2
10/26/16,Valls,3
10/26/16,Montebourg,0
10/26/16,Hamon,0
10/26/16,Melenchon,0
10/27/16,Le Pen,0
10/27/16,Fillon,2
10/27/16,Sarkozy,6
10/27/16,Juppe,3
10/27/16,Macron,0
10/27/16,Hollande,2
10/27/16,Valls,0
10/27/16,Montebourg,0
10/27/16,Hamon,0
10/27/16,Melenchon,0
10/28/16,Le Pen,0
10/28/16,Fillon,3
10/28/16,Sarkozy,5
10/28/16,Juppe,2
10/28/16,Macron,0
10/28/16,Hollande,4
10/28/16,Valls,3
10/28/16,Montebourg,0
10/28/16,Hamon,0
10/28/16,Melenchon,0
10/29/16,Le Pen,0
10/29/16,Fillon,0
10/29/16,Sarkozy,4
10/29/16,Juppe,0
10/29/16,Macron,0
10/29/16,Hollande,4
10/29/16,Valls,1
10/29/16,Montebourg,0
10/29/16,Hamon,0
10/29/16,Melenchon,0
10/30/16,Le Pen,1
10/30/16,Fillon,0
10/30/16,Sarkozy,3
10/30/16,Juppe,1
10/30/16,Macron,0
10/30/16,Hollande,0
10/30/16,Valls,0
10/30/16,Montebourg,1
10/30/16,Hamon,0
10/30/16,Melenchon,1
10/31/16,Le Pen,1
10/31/16,Fillon,1
10/31/16,Sarkozy,3
10/31/16,Juppe,2
10/31/16,Macron,0
10/31/16,Hollande,6
10/31/16,Valls,1
10/31/16,Montebourg,0
10/31/16,Hamon,0
10/31/16,Melenchon,0
11/01/16,Le Pen,1
11/01/16,Fillon,0
11/01/16,Sarkozy,1
11/01/16,Juppe,4
11/01/16,Macron,0
11/01/16,Hollande,3
11/01/16,Valls,1
